osmid,x,y,geometry
1730552079,139.6011706,35.6612074,POINT (139.6011706 35.6612074)
1730552097,139.6026058,35.6592656,POINT (139.6026058 35.6592656)
1730552098,139.6022398,35.6598927,POINT (139.6022398 35.6598927)
1730552115,139.6064351,35.6593924,POINT (139.6064351 35.6593924)
1730552116,139.6067851,35.6594044,POINT (139.6067851 35.6594044)
1730552117,139.6071126,35.6594198,POINT (139.6071126 35.6594198)
1730552119,139.6069299,35.6601472,POINT (139.6069299 35.6601472)
1730552120,139.6057714,35.6600294,POINT (139.6057714 35.6600294)
1730552121,139.6057201,35.6602943,POINT (139.6057201 35.6602943)
1730552122,139.6053237,35.660259,POINT (139.6053237 35.660259)
1730552123,139.6052988,35.6603617,POINT (139.6052988 35.6603617)
1730552124,139.6051948,35.6603505,POINT (139.6051948 35.6603505)
1730552125,139.6051235,35.6606402,POINT (139.6051235 35.6606402)
1730552126,139.607136,35.6589671,POINT (139.607136 35.6589671)
1781591283,139.6030055,35.6583342,POINT (139.6030055 35.6583342)
2076088388,139.6093447,35.6605941,POINT (139.6093447 35.6605941)
2076088389,139.6087176,35.6610385,POINT (139.6087176 35.6610385)
2076088391,139.6092139,35.6608975,POINT (139.6092139 35.6608975)
2076088393,139.6088103,35.6610577,POINT (139.6088103 35.6610577)
2088081453,139.603471,35.6598412,POINT (139.603471 35.6598412)
2088081454,139.6042149,35.6601058,POINT (139.6042149 35.6601058)
2643068072,139.6060292,35.6621017,POINT (139.6060292 35.6621017)
6273357347,139.6024099,35.6596429,POINT (139.6024099 35.6596429)
6273357361,139.6025545,35.6593692,POINT (139.6025545 35.6593692)
6273357362,139.6030137,35.6588649,POINT (139.6030137 35.6588649)
6273357363,139.6033221,35.6589217,POINT (139.6033221 35.6589217)
6273359097,139.6060869,35.6614362,POINT (139.6060869 35.6614362)
8174285258,139.6032912,35.6581324,POINT (139.6032912 35.6581324)
8682362693,139.6060316,35.6624949,POINT (139.6060316 35.6624949)
8682362695,139.6060295,35.6622427,POINT (139.6060295 35.6622427)
8682415339,139.6075831,35.6606202,POINT (139.6075831 35.6606202)
8682415341,139.608405,35.6607647,POINT (139.608405 35.6607647)
8682415343,139.6075767,35.6597421,POINT (139.6075767 35.6597421)
8682415346,139.6083169,35.6597972,POINT (139.6083169 35.6597972)
9439645640,139.6008941,35.6615619,POINT (139.6008941 35.6615619)
9439645641,139.6029041,35.6585274,POINT (139.6029041 35.6585274)
10794994033,139.6030542,35.6583018,POINT (139.6030542 35.6583018)
10794994039,139.604082,35.658483,POINT (139.604082 35.658483)
10794994040,139.6048114,35.6585367,POINT (139.6048114 35.6585367)
10794994043,139.6065393,35.6587812,POINT (139.6065393 35.6587812)
10794994052,139.6030847,35.6588681,POINT (139.6030847 35.6588681)
10794994060,139.6029493,35.6591918,POINT (139.6029493 35.6591918)
10835761752,139.6029248,35.6585137,POINT (139.6029248 35.6585137)
